DONG_CODE,GU,DONG,km_cluster
1111051500,종로구,청운효자동,9
1111053000,종로구,사직동,1
1111054000,종로구,삼청동,9
1111055000,종로구,부암동,9
1111056000,종로구,평창동,9
1111057000,종로구,무악동,8
1111058000,종로구,교남동,3
1111060000,종로구,가회동,8
1111061500,종로구,종로1.2.3.4가동,2
1111063000,종로구,종로5.6가동,4
1111064000,종로구,이화동,1
1111065000,종로구,혜화동,2
1111067000,종로구,창신1동,4
1111068000,종로구,창신2동,4
1111069000,종로구,창신3동,4
1111070000,종로구,숭인1동,1
1111071000,종로구,숭인2동,1
1114052000,중구,소공동,2
1114054000,중구,회현동,1
1114055000,중구,명동,6
1114057000,중구,필동,2
1114058000,중구,장충동,9
1114059000,중구,광희동,2
1114060500,중구,을지로동,1
1114061500,중구,신당동,5
1114062500,중구,다산동,4
1114063500,중구,약수동,4
1114064500,중구,청구동,4
1114065000,중구,신당5동,4
1114066500,중구,동화동,5
1114067000,중구,황학동,7
1114068000,중구,중림동,1
1117051000,용산구,후암동,8
1117052000,용산구,용산2가동,9
1117053000,용산구,남영동,2
1117055500,용산구,청파동,2
1117056000,용산구,원효로1동,4
1117057000,용산구,원효로2동,8
1117058000,용산구,효창동,1
1117059000,용산구,용문동,4
1117062500,용산구,한강로동,8
1117063000,용산구,이촌1동,9
1117064000,용산구,이촌2동,9
1117065000,용산구,이태원1동,2
1117066000,용산구,이태원2동,8
1117068500,용산구,한남동,9
1117069000,용산구,서빙고동,9
1117070000,용산구,보광동,8
1120052000,성동구,왕십리2동,4
1120053500,성동구,왕십리도선동,6
1120054000,성동구,마장동,8
1120055000,성동구,사근동,4
1120056000,성동구,행당1동,3
1120057000,성동구,행당2동,5
1120058000,성동구,응봉동,8
1120059000,성동구,금호1가동,1
1120061500,성동구,금호2.3가동,1
1120062000,성동구,금호4가동,4
1120064500,성동구,옥수동,8
1120065000,성동구,성수1가1동,8
1120066000,성동구,성수1가2동,3
1120067000,성동구,성수2가1동,2
1120069000,성동구,성수2가3동,2
1120072000,성동구,송정동,9
1120079000,성동구,용답동,9
1121571000,광진구,화양동,5
1121573000,광진구,군자동,5
1121574000,광진구,중곡1동,3
1121575000,광진구,중곡2동,5
1121576000,광진구,중곡3동,3
1121577000,광진구,중곡4동,9
1121578000,광진구,능동,8
1121581000,광진구,광장동,8
1121582000,광진구,자양1동,7
1121583000,광진구,자양2동,8
1121584000,광진구,자양3동,3
1121584700,광진구,자양4동,3
1121585000,광진구,구의1동,6
1121586000,광진구,구의2동,3
1121587000,광진구,구의3동,3
1123053600,동대문구,용신동,2
1123054500,동대문구,제기동,4
1123056000,동대문구,전농1동,3
1123057000,동대문구,전농2동,3
1123060000,동대문구,답십리1동,3
1123061000,동대문구,답십리2동,3
1123065000,동대문구,장안1동,5
1123066000,동대문구,장안2동,5
1123070500,동대문구,청량리동,8
1123071000,동대문구,회기동,2
1123072000,동대문구,휘경1동,3
1123073000,동대문구,휘경2동,4
1123074000,동대문구,이문1동,4
1123075000,동대문구,이문2동,4
1126052000,중랑구,면목2동,4
1126054000,중랑구,면목4동,4
1126055000,중랑구,면목5동,3
1126056500,중랑구,면목본동,4
1126057000,중랑구,면목7동,8
1126057500,중랑구,면목3.8동,8
1126058000,중랑구,상봉1동,3
1126059000,중랑구,상봉2동,5
1126060000,중랑구,중화1동,4
1126061000,중랑구,중화2동,4
1126062000,중랑구,묵1동,4
1126063000,중랑구,묵2동,3
1126065500,중랑구,망우본동,8
1126066000,중랑구,망우3동,3
1126068000,중랑구,신내1동,8
1126069000,중랑구,신내2동,3
1129052500,성북구,성북동,8
1129055500,성북구,삼선동,2
1129057500,성북구,동선동,7
1129058000,성북구,돈암1동,8
1129059000,성북구,돈암2동,8
1129060000,성북구,안암동,2
1129061000,성북구,보문동,4
1129062000,성북구,정릉1동,7
1129063000,성북구,정릉2동,8
1129064000,성북구,정릉3동,9
1129065000,성북구,정릉4동,9
1129066000,성북구,길음1동,4
1129068500,성북구,길음2동,7
1129070500,성북구,종암동,3
1129071500,성북구,월곡1동,3
1129072500,성북구,월곡2동,3
1129076000,성북구,장위1동,4
1129077000,성북구,장위2동,4
1129078000,성북구,장위3동,4
1129081000,성북구,석관동,8
1130553400,강북구,삼양동,3
1130553500,강북구,미아동,3
1130554500,강북구,송중동,3
1130555500,강북구,송천동,3
1130557500,강북구,삼각산동,5
1130559500,강북구,번1동,3
1130560300,강북구,번2동,3
1130560800,강북구,번3동,8
1130561500,강북구,수유1동,8
1130562500,강북구,수유2동,3
1130563500,강북구,수유3동,4
1130564500,강북구,우이동,9
1130566000,강북구,인수동,9
1132051100,도봉구,창1동,3
1132051200,도봉구,창2동,3
1132051300,도봉구,창3동,3
1132051400,도봉구,창4동,3
1132051500,도봉구,창5동,3
1132052100,도봉구,도봉1동,9
1132052200,도봉구,도봉2동,4
1132066000,도봉구,쌍문1동,8
1132067000,도봉구,쌍문2동,3
1132068000,도봉구,쌍문3동,3
1132068100,도봉구,쌍문4동,3
1132069000,도봉구,방학1동,3
1132070000,도봉구,방학2동,3
1132071000,도봉구,방학3동,9
1135056000,노원구,월계1동,3
1135057000,노원구,월계2동,8
1135058000,노원구,월계3동,3
1135059500,노원구,공릉1동,3
1135060000,노원구,공릉2동,9
1135061100,노원구,하계1동,8
1135061200,노원구,하계2동,4
1135061900,노원구,중계본동,8
1135062100,노원구,중계1동,5
1135062400,노원구,중계4동,8
1135062500,노원구,중계2.3동,3
1135063000,노원구,상계1동,9
1135064000,노원구,상계2동,5
1135066500,노원구,상계3.4동,9
1135067000,노원구,상계5동,3
1135069500,노원구,상계6.7동,3
1135070000,노원구,상계8동,5
1135071000,노원구,상계9동,3
1135072000,노원구,상계10동,3
1138051000,은평구,녹번동,4
1138052000,은평구,불광1동,8
1138053000,은평구,불광2동,4
1138055100,은평구,갈현1동,3
1138055200,은평구,갈현2동,3
1138056000,은평구,구산동,4
1138057000,은평구,대조동,5
1138058000,은평구,응암1동,3
1138059000,은평구,응암2동,5
1138060000,은평구,응암3동,5
1138062500,은평구,역촌동,4
1138063100,은평구,신사1동,4
1138063200,은평구,신사2동,4
1138064000,은평구,증산동,4
1138065000,은평구,수색동,9
1138069000,은평구,진관동,9
1141052000,서대문구,천연동,2
1141055500,서대문구,북아현동,4
1141056500,서대문구,충현동,2
1141058500,서대문구,신촌동,2
1141061500,서대문구,연희동,8
1141062000,서대문구,홍제1동,8
1141064000,서대문구,홍제3동,4
1141065500,서대문구,홍제2동,8
1141066000,서대문구,홍은1동,8
1141068500,서대문구,홍은2동,8
1141069000,서대문구,남가좌1동,5
1141070000,서대문구,남가좌2동,3
1141071000,서대문구,북가좌1동,3
1141072000,서대문구,북가좌2동,3
1144055500,마포구,아현동,5
1144056500,마포구,공덕동,5
1144058500,마포구,도화동,2
1144059000,마포구,용강동,6
1144060000,마포구,대흥동,4
1144061000,마포구,염리동,5
1144063000,마포구,신수동,4
1144065500,마포구,서강동,2
1144066000,마포구,서교동,7
1144068000,마포구,합정동,8
1144069000,마포구,망원1동,2
1144070000,마포구,망원2동,2
1144071000,마포구,연남동,4
1144072000,마포구,성산1동,3
1144073000,마포구,성산2동,8
1144074000,마포구,상암동,9
1147051000,양천구,목1동,3
1147052000,양천구,목2동,5
1147053000,양천구,목3동,7
1147054000,양천구,목4동,7
1147055000,양천구,목5동,3
1147056000,양천구,신월1동,3
1147057000,양천구,신월2동,3
1147058000,양천구,신월3동,8
1147059000,양천구,신월4동,3
1147060000,양천구,신월5동,3
1147061000,양천구,신월6동,5
1147061100,양천구,신월7동,8
1147062000,양천구,신정1동,5
1147063000,양천구,신정2동,7
1147064000,양천구,신정3동,8
1147065000,양천구,신정4동,3
1147067000,양천구,신정6동,3
1147068000,양천구,신정7동,3
1150051000,강서구,염창동,3
1150052000,강서구,등촌1동,7
1150053000,강서구,등촌2동,3
1150053500,강서구,등촌3동,5
1150054000,강서구,화곡1동,3
1150055000,강서구,화곡2동,7
1150056000,강서구,화곡3동,5
1150057000,강서구,화곡4동,3
1150059000,강서구,화곡본동,3
1150059100,강서구,화곡6동,3
1150059300,강서구,화곡8동,5
1150060300,강서구,가양1동,9
1150060400,강서구,가양2동,9
1150060500,강서구,가양3동,3
1150061100,강서구,발산1동,3
1150061500,강서구,우장산동,5
1150062000,강서구,공항동,9
1150063000,강서구,방화1동,5
1150064000,강서구,방화2동,9
1150064100,강서구,방화3동,9
1153051000,구로구,신도림동,3
1153052000,구로구,구로1동,3
1153053000,구로구,구로2동,4
1153054000,구로구,구로3동,4
1153055000,구로구,구로4동,7
1153056000,구로구,구로5동,4
1153059500,구로구,가리봉동,4
1153072000,구로구,고척1동,3
1153073000,구로구,고척2동,3
1153074000,구로구,개봉1동,4
1153075000,구로구,개봉2동,4
1153076000,구로구,개봉3동,4
1153077000,구로구,오류1동,4
1153078000,구로구,오류2동,8
1153079000,구로구,수궁동,8
1153080000,구로구,항동,8
1154551000,금천구,가산동,2
1154561000,금천구,독산1동,8
1154562000,금천구,독산2동,5
1154563000,금천구,독산3동,3
1154564000,금천구,독산4동,5
1154567000,금천구,시흥1동,8
1154568000,금천구,시흥2동,8
1154569000,금천구,시흥3동,8
1154570000,금천구,시흥4동,4
1154571000,금천구,시흥5동,8
1156051500,영등포구,영등포본동,4
1156053500,영등포구,영등포동,7
1156054000,영등포구,여의동,9
1156055000,영등포구,당산1동,5
1156056000,영등포구,당산2동,3
1156058500,영등포구,도림동,8
1156060500,영등포구,문래동,2
1156061000,영등포구,양평1동,2
1156062000,영등포구,양평2동,9
1156063000,영등포구,신길1동,4
1156065000,영등포구,신길3동,4
1156066000,영등포구,신길4동,5
1156067000,영등포구,신길5동,5
1156068000,영등포구,신길6동,4
1156069000,영등포구,신길7동,4
1156070000,영등포구,대림1동,4
1156071000,영등포구,대림2동,4
1156072000,영등포구,대림3동,8
1159051000,동작구,노량진1동,4
1159052000,동작구,노량진2동,3
1159053000,동작구,상도1동,4
1159054000,동작구,상도2동,4
1159055000,동작구,상도3동,5
1159056000,동작구,상도4동,4
1159060500,동작구,흑석동,2
1159062000,동작구,사당1동,3
1159063000,동작구,사당2동,9
1159064000,동작구,사당3동,4
1159065000,동작구,사당4동,5
1159065100,동작구,사당5동,3
1159066000,동작구,대방동,3
1159067000,동작구,신대방1동,3
1159068000,동작구,신대방2동,3
1162052500,관악구,보라매동,3
1162054500,관악구,청림동,7
1162056500,관악구,성현동,3
1162057500,관악구,행운동,3
1162058500,관악구,낙성대동,9
1162059500,관악구,청룡동,4
1162060500,관악구,은천동,3
1162061500,관악구,중앙동,7
1162062500,관악구,인헌동,4
1162063000,관악구,남현동,9
1162064500,관악구,서원동,4
1162065500,관악구,신원동,3
1162066500,관악구,서림동,4
1162068500,관악구,신사동,4
1162069500,관악구,신림동,5
1162071500,관악구,난향동,4
1162072500,관악구,조원동,4
1162073500,관악구,대학동,9
1162074500,관악구,삼성동,9
1162076500,관악구,미성동,8
1162077500,관악구,난곡동,4
1165051000,서초구,서초1동,6
1165052000,서초구,서초2동,6
1165053000,서초구,서초3동,3
1165053100,서초구,서초4동,7
1165054000,서초구,잠원동,8
1165055000,서초구,반포본동,3
1165056000,서초구,반포1동,3
1165057000,서초구,반포2동,3
1165058000,서초구,반포3동,3
1165058100,서초구,반포4동,3
1165059000,서초구,방배본동,6
1165060000,서초구,방배1동,6
1165061000,서초구,방배2동,8
1165062000,서초구,방배3동,8
1165062100,서초구,방배4동,3
1165065100,서초구,양재1동,8
1165065200,서초구,양재2동,9
1165066000,서초구,내곡동,9
1168051000,강남구,신사동,6
1168052100,강남구,논현1동,6
1168053100,강남구,논현2동,6
1168054500,강남구,압구정동,2
1168056500,강남구,청담동,6
1168058000,강남구,삼성1동,2
1168059000,강남구,삼성2동,6
1168060000,강남구,대치1동,6
1168061000,강남구,대치2동,2
1168063000,강남구,대치4동,6
1168064000,강남구,역삼1동,6
1168065000,강남구,역삼2동,7
1168065500,강남구,도곡1동,3
1168065600,강남구,도곡2동,3
1168066000,강남구,개포1동,8
1168067000,강남구,개포2동,8
1168069000,강남구,개포4동,8
1168070000,강남구,세곡동,9
1168072000,강남구,일원본동,9
1168073000,강남구,일원1동,2
1168074000,강남구,일원2동,6
1168075000,강남구,수서동,9
1171051000,송파구,풍납1동,8
1171052000,송파구,풍납2동,8
1171053100,송파구,거여1동,4
1171053200,송파구,거여2동,4
1171054000,송파구,마천1동,4
1171055000,송파구,마천2동,8
1171056100,송파구,방이1동,7
1171056200,송파구,방이2동,5
1171056600,송파구,오륜동,9
1171057000,송파구,오금동,3
1171058000,송파구,송파1동,6
1171059000,송파구,송파2동,6
1171060000,송파구,석촌동,5
1171061000,송파구,삼전동,6
1171062000,송파구,가락본동,3
1171063100,송파구,가락1동,3
1171063200,송파구,가락2동,3
1171064100,송파구,문정1동,7
1171064200,송파구,문정2동,8
1171064600,송파구,장지동,3
1171064700,송파구,위례동,9
1171065000,송파구,잠실본동,3
1171067000,송파구,잠실2동,9
1171068000,송파구,잠실3동,3
1171069000,송파구,잠실4동,9
1171071000,송파구,잠실6동,9
1171072000,송파구,잠실7동,6
1174051500,강동구,강일동,8
1174052500,강동구,상일1동,9
1174052600,강동구,상일2동,3
1174053000,강동구,명일1동,7
1174054000,강동구,명일2동,3
1174055000,강동구,고덕1동,8
1174056000,강동구,고덕2동,8
1174057000,강동구,암사1동,4
1174058000,강동구,암사2동,8
1174059000,강동구,암사3동,9
1174060000,강동구,천호1동,5
1174061000,강동구,천호2동,3
1174062000,강동구,천호3동,5
1174064000,강동구,성내1동,7
1174065000,강동구,성내2동,5
1174066000,강동구,성내3동,5
1174068500,강동구,길동,3
1174069000,강동구,둔촌1동,8
1174070000,강동구,둔촌2동,8
