,GU,DONG,DONG_CODE,cnt
0,종로구,청운효자동,1111051500,0.0
1,종로구,사직동,1111053000,1.0
2,종로구,삼청동,1111054000,0.0
3,종로구,부암동,1111055000,0.0
4,종로구,평창동,1111056000,0.0
5,종로구,무악동,1111057000,0.0
6,종로구,교남동,1111058000,0.0
7,종로구,가회동,1111060000,0.0
8,종로구,종로1.2.3.4가동,1111061500,3.0
9,종로구,종로5.6가동,1111063000,0.0
10,종로구,이화동,1111064000,0.0
11,종로구,혜화동,1111065000,0.0
12,종로구,창신1동,1111067000,0.0
13,종로구,창신2동,1111068000,0.0
14,종로구,창신3동,1111069000,0.0
15,종로구,숭인1동,1111070000,1.0
16,종로구,숭인2동,1111071000,0.0
17,중구,소공동,1114052000,3.0
18,중구,회현동,1114054000,1.0
19,중구,명동,1114055000,3.0
20,중구,필동,1114057000,4.0
21,중구,장충동,1114058000,0.0
22,중구,광희동,1114059000,4.0
23,중구,을지로동,1114060500,0.0
24,중구,신당동,1114061500,1.0
25,중구,다산동,1114062500,0.0
26,중구,약수동,1114063500,0.0
27,중구,청구동,1114064500,0.0
28,중구,신당5동,1114065000,0.0
29,중구,동화동,1114066500,0.0
30,중구,황학동,1114067000,0.0
31,중구,중림동,1114068000,0.0
32,용산구,후암동,1117051000,1.0
33,용산구,용산2가동,1117052000,0.0
34,용산구,남영동,1117053000,1.0
35,용산구,청파동,1117055500,0.0
36,용산구,원효로1동,1117056000,1.0
37,용산구,원효로2동,1117057000,0.0
38,용산구,효창동,1117058000,0.0
39,용산구,용문동,1117059000,0.0
40,용산구,한강로동,1117062500,0.0
41,용산구,이촌1동,1117063000,0.0
42,용산구,이촌2동,1117064000,0.0
43,용산구,이태원1동,1117065000,0.0
44,용산구,이태원2동,1117066000,0.0
45,용산구,한남동,1117068500,3.0
46,용산구,서빙고동,1117069000,0.0
47,용산구,보광동,1117070000,0.0
48,성동구,왕십리2동,1120052000,0.0
49,성동구,왕십리도선동,1120053500,0.0
50,성동구,마장동,1120054000,0.0
51,성동구,사근동,1120055000,0.0
52,성동구,행당1동,1120056000,1.0
53,성동구,행당2동,1120057000,0.0
54,성동구,응봉동,1120058000,0.0
55,성동구,금호1가동,1120059000,0.0
56,성동구,금호2.3가동,1120061500,0.0
57,성동구,금호4가동,1120062000,0.0
58,성동구,옥수동,1120064500,0.0
59,성동구,성수1가1동,1120065000,2.0
60,성동구,성수1가2동,1120066000,0.0
61,성동구,성수2가1동,1120067000,0.0
62,성동구,성수2가3동,1120069000,0.0
63,성동구,송정동,1120072000,0.0
64,성동구,용답동,1120079000,0.0
65,광진구,화양동,1121571000,1.0
66,광진구,군자동,1121573000,0.0
67,광진구,중곡1동,1121574000,0.0
68,광진구,중곡2동,1121575000,0.0
69,광진구,중곡3동,1121576000,0.0
70,광진구,중곡4동,1121577000,0.0
71,광진구,능동,1121578000,0.0
72,광진구,광장동,1121581000,0.0
73,광진구,자양1동,1121582000,0.0
74,광진구,자양2동,1121583000,0.0
75,광진구,자양3동,1121584000,0.0
76,광진구,자양4동,1121584700,0.0
77,광진구,구의1동,1121585000,0.0
78,광진구,구의2동,1121586000,0.0
79,광진구,구의3동,1121587000,1.0
80,동대문구,용신동,1123053600,2.0
81,동대문구,제기동,1123054500,0.0
82,동대문구,전농1동,1123056000,0.0
83,동대문구,전농2동,1123057000,0.0
84,동대문구,답십리1동,1123060000,0.0
85,동대문구,답십리2동,1123061000,0.0
86,동대문구,장안1동,1123065000,0.0
87,동대문구,장안2동,1123066000,0.0
88,동대문구,청량리동,1123070500,0.0
89,동대문구,회기동,1123071000,1.0
90,동대문구,휘경1동,1123072000,1.0
91,동대문구,휘경2동,1123073000,0.0
92,동대문구,이문1동,1123074000,0.0
93,동대문구,이문2동,1123075000,0.0
94,중랑구,면목2동,1126052000,0.0
95,중랑구,면목4동,1126054000,0.0
96,중랑구,면목5동,1126055000,0.0
97,중랑구,면목본동,1126056500,0.0
98,중랑구,면목7동,1126057000,0.0
99,중랑구,면목3.8동,1126057500,0.0
100,중랑구,상봉1동,1126058000,0.0
101,중랑구,상봉2동,1126059000,0.0
102,중랑구,중화1동,1126060000,0.0
103,중랑구,중화2동,1126061000,0.0
104,중랑구,묵1동,1126062000,0.0
105,중랑구,묵2동,1126063000,0.0
106,중랑구,망우본동,1126065500,0.0
107,중랑구,망우3동,1126066000,0.0
108,중랑구,신내1동,1126068000,0.0
109,중랑구,신내2동,1126069000,0.0
110,성북구,성북동,1129052500,0.0
111,성북구,삼선동,1129055500,0.0
112,성북구,동선동,1129057500,0.0
113,성북구,돈암1동,1129058000,0.0
114,성북구,돈암2동,1129059000,0.0
115,성북구,안암동,1129060000,0.0
116,성북구,보문동,1129061000,0.0
117,성북구,정릉1동,1129062000,0.0
118,성북구,정릉2동,1129063000,0.0
119,성북구,정릉3동,1129064000,0.0
120,성북구,정릉4동,1129065000,0.0
121,성북구,길음1동,1129066000,0.0
122,성북구,길음2동,1129068500,0.0
123,성북구,종암동,1129070500,0.0
124,성북구,월곡1동,1129071500,0.0
125,성북구,월곡2동,1129072500,0.0
126,성북구,장위1동,1129076000,0.0
127,성북구,장위2동,1129077000,0.0
128,성북구,장위3동,1129078000,0.0
129,성북구,석관동,1129081000,0.0
130,강북구,삼양동,1130553400,0.0
131,강북구,미아동,1130553500,0.0
132,강북구,송중동,1130554500,0.0
133,강북구,송천동,1130555500,0.0
134,강북구,삼각산동,1130557500,0.0
135,강북구,번1동,1130559500,0.0
136,강북구,번2동,1130560300,0.0
137,강북구,번3동,1130560800,0.0
138,강북구,수유1동,1130561500,0.0
139,강북구,수유2동,1130562500,0.0
140,강북구,수유3동,1130563500,1.0
141,강북구,우이동,1130564500,0.0
142,강북구,인수동,1130566000,0.0
143,도봉구,창1동,1132051100,0.0
144,도봉구,창2동,1132051200,0.0
145,도봉구,창3동,1132051300,0.0
146,도봉구,창4동,1132051400,0.0
147,도봉구,창5동,1132051500,0.0
148,도봉구,도봉1동,1132052100,0.0
149,도봉구,도봉2동,1132052200,0.0
150,도봉구,쌍문1동,1132066000,0.0
151,도봉구,쌍문2동,1132067000,0.0
152,도봉구,쌍문3동,1132068000,0.0
153,도봉구,쌍문4동,1132068100,0.0
154,도봉구,방학1동,1132069000,0.0
155,도봉구,방학2동,1132070000,0.0
156,도봉구,방학3동,1132071000,0.0
157,노원구,월계1동,1135056000,0.0
158,노원구,월계2동,1135057000,0.0
159,노원구,월계3동,1135058000,0.0
160,노원구,공릉1동,1135059500,0.0
161,노원구,공릉2동,1135060000,0.0
162,노원구,하계1동,1135061100,0.0
163,노원구,하계2동,1135061200,0.0
164,노원구,중계본동,1135061900,0.0
165,노원구,중계1동,1135062100,0.0
166,노원구,중계4동,1135062400,0.0
167,노원구,중계2.3동,1135062500,0.0
168,노원구,상계1동,1135063000,0.0
169,노원구,상계2동,1135064000,0.0
170,노원구,상계3.4동,1135066500,0.0
171,노원구,상계5동,1135067000,0.0
172,노원구,상계6.7동,1135069500,0.0
173,노원구,상계8동,1135070000,0.0
174,노원구,상계9동,1135071000,0.0
175,노원구,상계10동,1135072000,0.0
176,은평구,녹번동,1138051000,0.0
177,은평구,불광1동,1138052000,1.0
178,은평구,불광2동,1138053000,0.0
179,은평구,갈현1동,1138055100,0.0
180,은평구,갈현2동,1138055200,0.0
181,은평구,구산동,1138056000,0.0
182,은평구,대조동,1138057000,0.0
183,은평구,응암1동,1138058000,0.0
184,은평구,응암2동,1138059000,0.0
185,은평구,응암3동,1138060000,0.0
186,은평구,역촌동,1138062500,0.0
187,은평구,신사1동,1138063100,0.0
188,은평구,신사2동,1138063200,0.0
189,은평구,증산동,1138064000,0.0
190,은평구,수색동,1138065000,0.0
191,은평구,진관동,1138069000,0.0
192,서대문구,천연동,1141052000,0.0
193,서대문구,북아현동,1141055500,0.0
194,서대문구,충현동,1141056500,0.0
195,서대문구,신촌동,1141058500,1.0
196,서대문구,연희동,1141061500,0.0
197,서대문구,홍제1동,1141062000,0.0
198,서대문구,홍제3동,1141064000,0.0
199,서대문구,홍제2동,1141065500,0.0
200,서대문구,홍은1동,1141066000,0.0
201,서대문구,홍은2동,1141068500,0.0
202,서대문구,남가좌1동,1141069000,0.0
203,서대문구,남가좌2동,1141070000,0.0
204,서대문구,북가좌1동,1141071000,0.0
205,서대문구,북가좌2동,1141072000,0.0
206,마포구,아현동,1144055500,0.0
207,마포구,공덕동,1144056500,0.0
208,마포구,도화동,1144058500,0.0
209,마포구,용강동,1144059000,0.0
210,마포구,대흥동,1144060000,1.0
211,마포구,염리동,1144061000,0.0
212,마포구,신수동,1144063000,0.0
213,마포구,서강동,1144065500,0.0
214,마포구,서교동,1144066000,3.0
215,마포구,합정동,1144068000,0.0
216,마포구,망원1동,1144069000,1.0
217,마포구,망원2동,1144070000,0.0
218,마포구,연남동,1144071000,2.0
219,마포구,성산1동,1144072000,2.0
220,마포구,성산2동,1144073000,0.0
221,마포구,상암동,1144074000,0.0
222,양천구,목1동,1147051000,0.0
223,양천구,목2동,1147052000,0.0
224,양천구,목3동,1147053000,0.0
225,양천구,목4동,1147054000,0.0
226,양천구,목5동,1147055000,0.0
227,양천구,신월1동,1147056000,0.0
228,양천구,신월2동,1147057000,0.0
229,양천구,신월3동,1147058000,0.0
230,양천구,신월4동,1147059000,0.0
231,양천구,신월5동,1147060000,0.0
232,양천구,신월6동,1147061000,0.0
233,양천구,신월7동,1147061100,0.0
234,양천구,신정1동,1147062000,0.0
235,양천구,신정2동,1147063000,0.0
236,양천구,신정3동,1147064000,0.0
237,양천구,신정4동,1147065000,0.0
238,양천구,신정6동,1147067000,0.0
239,양천구,신정7동,1147068000,0.0
240,강서구,염창동,1150051000,0.0
241,강서구,등촌1동,1150052000,1.0
242,강서구,등촌2동,1150053000,0.0
243,강서구,등촌3동,1150053500,0.0
244,강서구,화곡1동,1150054000,0.0
245,강서구,화곡2동,1150055000,0.0
246,강서구,화곡3동,1150056000,0.0
247,강서구,화곡4동,1150057000,0.0
248,강서구,화곡본동,1150059000,0.0
249,강서구,화곡6동,1150059100,0.0
250,강서구,화곡8동,1150059300,0.0
251,강서구,가양1동,1150060300,0.0
252,강서구,가양2동,1150060400,0.0
253,강서구,가양3동,1150060500,0.0
254,강서구,발산1동,1150061100,0.0
255,강서구,우장산동,1150061500,0.0
256,강서구,공항동,1150062000,0.0
257,강서구,방화1동,1150063000,0.0
258,강서구,방화2동,1150064000,0.0
259,강서구,방화3동,1150064100,0.0
260,구로구,신도림동,1153051000,1.0
261,구로구,구로1동,1153052000,0.0
262,구로구,구로2동,1153053000,0.0
263,구로구,구로3동,1153054000,0.0
264,구로구,구로4동,1153055000,0.0
265,구로구,구로5동,1153056000,0.0
266,구로구,가리봉동,1153059500,0.0
267,구로구,고척1동,1153072000,0.0
268,구로구,고척2동,1153073000,0.0
269,구로구,개봉1동,1153074000,0.0
270,구로구,개봉2동,1153075000,0.0
271,구로구,개봉3동,1153076000,0.0
272,구로구,오류1동,1153077000,0.0
273,구로구,오류2동,1153078000,0.0
274,구로구,수궁동,1153079000,0.0
275,구로구,항동,1153080000,0.0
276,금천구,가산동,1154551000,0.0
277,금천구,독산1동,1154561000,0.0
278,금천구,독산2동,1154562000,0.0
279,금천구,독산3동,1154563000,0.0
280,금천구,독산4동,1154564000,0.0
281,금천구,시흥1동,1154567000,0.0
282,금천구,시흥2동,1154568000,0.0
283,금천구,시흥3동,1154569000,0.0
284,금천구,시흥4동,1154570000,0.0
285,금천구,시흥5동,1154571000,0.0
286,영등포구,영등포본동,1156051500,1.0
287,영등포구,영등포동,1156053500,1.0
288,영등포구,여의동,1156054000,0.0
289,영등포구,당산1동,1156055000,0.0
290,영등포구,당산2동,1156056000,2.0
291,영등포구,도림동,1156058500,0.0
292,영등포구,문래동,1156060500,1.0
293,영등포구,양평1동,1156061000,0.0
294,영등포구,양평2동,1156062000,0.0
295,영등포구,신길1동,1156063000,0.0
296,영등포구,신길3동,1156065000,0.0
297,영등포구,신길4동,1156066000,0.0
298,영등포구,신길5동,1156067000,0.0
299,영등포구,신길6동,1156068000,0.0
300,영등포구,신길7동,1156069000,1.0
301,영등포구,대림1동,1156070000,0.0
302,영등포구,대림2동,1156071000,0.0
303,영등포구,대림3동,1156072000,0.0
304,동작구,노량진1동,1159051000,0.0
305,동작구,노량진2동,1159052000,0.0
306,동작구,상도1동,1159053000,0.0
307,동작구,상도2동,1159054000,0.0
308,동작구,상도3동,1159055000,0.0
309,동작구,상도4동,1159056000,0.0
310,동작구,흑석동,1159060500,0.0
311,동작구,사당1동,1159062000,0.0
312,동작구,사당2동,1159063000,0.0
313,동작구,사당3동,1159064000,0.0
314,동작구,사당4동,1159065000,0.0
315,동작구,사당5동,1159065100,0.0
316,동작구,대방동,1159066000,0.0
317,동작구,신대방1동,1159067000,0.0
318,동작구,신대방2동,1159068000,0.0
319,관악구,보라매동,1162052500,0.0
320,관악구,청림동,1162054500,0.0
321,관악구,성현동,1162056500,0.0
322,관악구,행운동,1162057500,0.0
323,관악구,낙성대동,1162058500,0.0
324,관악구,청룡동,1162059500,0.0
325,관악구,은천동,1162060500,0.0
326,관악구,중앙동,1162061500,0.0
327,관악구,인헌동,1162062500,0.0
328,관악구,남현동,1162063000,0.0
329,관악구,서원동,1162064500,0.0
330,관악구,신원동,1162065500,1.0
331,관악구,서림동,1162066500,1.0
332,관악구,신사동,1162068500,0.0
333,관악구,신림동,1162069500,0.0
334,관악구,난향동,1162071500,0.0
335,관악구,조원동,1162072500,0.0
336,관악구,대학동,1162073500,1.0
337,관악구,삼성동,1162074500,0.0
338,관악구,미성동,1162076500,0.0
339,관악구,난곡동,1162077500,0.0
340,서초구,서초1동,1165051000,3.0
341,서초구,서초2동,1165052000,2.0
342,서초구,서초3동,1165053000,2.0
343,서초구,서초4동,1165053100,0.0
344,서초구,잠원동,1165054000,0.0
345,서초구,반포본동,1165055000,0.0
346,서초구,반포1동,1165056000,0.0
347,서초구,반포2동,1165057000,0.0
348,서초구,반포3동,1165058000,0.0
349,서초구,반포4동,1165058100,0.0
350,서초구,방배본동,1165059000,0.0
351,서초구,방배1동,1165060000,0.0
352,서초구,방배2동,1165061000,0.0
353,서초구,방배3동,1165062000,0.0
354,서초구,방배4동,1165062100,0.0
355,서초구,양재1동,1165065100,0.0
356,서초구,양재2동,1165065200,0.0
357,서초구,내곡동,1165066000,0.0
358,강남구,신사동,1168051000,3.0
359,강남구,논현1동,1168052100,0.0
360,강남구,논현2동,1168053100,0.0
361,강남구,압구정동,1168054500,0.0
362,강남구,청담동,1168056500,0.0
363,강남구,삼성1동,1168058000,0.0
364,강남구,삼성2동,1168059000,1.0
365,강남구,대치1동,1168060000,0.0
366,강남구,대치2동,1168061000,0.0
367,강남구,대치4동,1168063000,0.0
368,강남구,역삼1동,1168064000,3.0
369,강남구,역삼2동,1168065000,0.0
370,강남구,도곡1동,1168065500,0.0
371,강남구,도곡2동,1168065600,0.0
372,강남구,개포1동,1168066000,0.0
373,강남구,개포2동,1168067000,0.0
374,강남구,개포4동,1168069000,0.0
375,강남구,세곡동,1168070000,0.0
376,강남구,일원본동,1168072000,0.0
377,강남구,일원1동,1168073000,0.0
378,강남구,일원2동,1168074000,0.0
379,강남구,수서동,1168075000,0.0
380,송파구,풍납1동,1171051000,0.0
381,송파구,풍납2동,1171052000,0.0
382,송파구,거여1동,1171053100,0.0
383,송파구,거여2동,1171053200,0.0
384,송파구,마천1동,1171054000,0.0
385,송파구,마천2동,1171055000,0.0
386,송파구,방이1동,1171056100,0.0
387,송파구,방이2동,1171056200,0.0
388,송파구,오륜동,1171056600,0.0
389,송파구,오금동,1171057000,0.0
390,송파구,송파1동,1171058000,0.0
391,송파구,송파2동,1171059000,0.0
392,송파구,석촌동,1171060000,1.0
393,송파구,삼전동,1171061000,0.0
394,송파구,가락본동,1171062000,0.0
395,송파구,가락1동,1171063100,0.0
396,송파구,가락2동,1171063200,1.0
397,송파구,문정1동,1171064100,0.0
398,송파구,문정2동,1171064200,0.0
399,송파구,장지동,1171064600,1.0
400,송파구,위례동,1171064700,0.0
401,송파구,잠실본동,1171065000,0.0
402,송파구,잠실2동,1171067000,0.0
403,송파구,잠실3동,1171068000,0.0
404,송파구,잠실4동,1171069000,0.0
405,송파구,잠실6동,1171071000,0.0
406,송파구,잠실7동,1171072000,0.0
407,강동구,강일동,1174051500,0.0
408,강동구,상일1동,1174052500,0.0
409,강동구,상일2동,1174052600,0.0
410,강동구,명일1동,1174053000,0.0
411,강동구,명일2동,1174054000,0.0
412,강동구,고덕1동,1174055000,0.0
413,강동구,고덕2동,1174056000,0.0
414,강동구,암사1동,1174057000,0.0
415,강동구,암사2동,1174058000,0.0
416,강동구,암사3동,1174059000,0.0
417,강동구,천호1동,1174060000,0.0
418,강동구,천호2동,1174061000,0.0
419,강동구,천호3동,1174062000,0.0
420,강동구,성내1동,1174064000,0.0
421,강동구,성내2동,1174065000,0.0
422,강동구,성내3동,1174066000,0.0
423,강동구,길동,1174068500,0.0
424,강동구,둔촌1동,1174069000,0.0
425,강동구,둔촌2동,1174070000,0.0
